ID,epoch_val_accuracy,MAX_NODES,WINDOW_SIZE,Name,Owner,Created,Running Time,Hostname,BATCH_NORM,FIRST_CONV_ACTIVATION,CONV_TYPE,LAYERS,MASTER_NODE,PMI,POOLING,PRETRAINED,PRETRAINED_EMB,BATCH_SIZE,EMB_SIZE,DROPOUT_RATE,EPOCH,FIRST_CONV_SIZE,L2_RATE,LR_FIRST_UPDATE,LR,LR_UPDATE_PER,MAX_TF,MIN_TF,MODEL_PARAMS,NUM_CLASSES,VOCAB_SIZE,emb_size,max_nodes,num_classes,vocab_size,epoch_loss,epoch_accuracy,epoch_val_loss,IS_DIRECTED,Tags,State
VKR-315,0.8323154449462891,254.0,3.0,20news-groups,vmalperovich,2021-04-29 01:37:49,800.848,7509fe545d91,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'Conv', 'Pooling', 'Dropout', 'Dense']",False,False,GlobalSum,False,GLoVe,32.0,200.0,0.55,100.0,200.0,0.05,5.0,0.001,10.0,700.0,5.0,4380020.0,20.0,21679.0,,,,,0.12157148867845535,0.9984974265098572,0.7583673596382141,,[],SUCCEEDED
VKR-314,0.8333775997161865,254.0,3.0,20news-groups,vmalperovich,2021-04-29 01:15:15,1255.489,7509fe545d91,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'Conv', 'Pooling', 'Dropout', 'Dense']",False,False,GlobalSum,False,GLoVe,32.0,200.0,0.4,100.0,200.0,0.01,3.0,0.001,5.0,700.0,5.0,4380020.0,20.0,21679.0,,,,,0.10108767449855804,0.9987626075744629,0.7468274235725403,,[],SUCCEEDED
VKR-296,0.8223579525947571,185.0,3.0,20news-groups,vmalperovich,2021-04-24 03:50:56,849.235,db335da8bd31,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'Conv', 'Pooling', 'Dropout', 'Dense']",False,False,GlobalSum,False,GLoVe,32.0,200.0,0.5,100.0,200.0,0.005,10.0,0.001,5.0,700.0,3.0,5918620.0,20.0,29372.0,,,,,0.0636351928114891,0.9992045164108276,0.7561343312263489,,[],SUCCEEDED
VKR-179,0.8348380327224731,180.0,3.0,20news-groups,vmalperovich,2021-02-19 20:28:38,1804.875,3461c19f3f93,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_6', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,False,GLoVe,32.0,300.0,0.55,100.0,300.0,0.05,5.0,0.001,10.0,1000.0,5.0,6914420.0,20.0,22728.0,,,,,0.08370839804410934,0.9992045164108276,0.7288628220558167,,[],SUCCEEDED
VKR-178,0.732342004776001,180.0,3.0,20news-groups,vmalperovich,2021-02-19 19:44:16,2591.551,3461c19f3f93,False,relu,MPNN,"['Nodes_input', 'Embeddings', 'Adj_input', 'Reshape', 'lambda_3', 'MaxPool', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,True,GLoVe,32.0,200.0,0.55,100.0,200.0,0.05,5.0,0.001,5.0,1000.0,5.0,4549620.0,20.0,22728.0,,,,,1.6771453619003296,0.5367686152458191,1.475785255432129,,[],SUCCEEDED
VKR-177,0.7336696982383728,180.0,3.0,20news-groups,vmalperovich,2021-02-19 18:54:44,2694.352,3461c19f3f93,False,relu,MPNN,"['Nodes_input', 'Embeddings', 'Adj_input', 'Reshape', 'lambda_2', 'MaxPool', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,True,GLoVe,32.0,200.0,0.55,100.0,200.0,1.0E-4,5.0,0.001,5.0,1000.0,5.0,4549620.0,20.0,22728.0,,,,,1.5588048696517944,0.5295209288597107,1.2632157802581787,,[],SUCCEEDED
VKR-176,0.7985926866531372,180.0,3.0,20news-groups,vmalperovich,2021-02-19 18:45:04,498.89,3461c19f3f93,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_5', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,True,GLoVe,32.0,200.0,0.55,100.0,200.0,1.0E-4,5.0,0.001,5.0,1000.0,5.0,4589620.0,20.0,22728.0,,,,,0.1096484437584877,0.9793176651000977,0.9059755802154541,,[],SUCCEEDED
VKR-175,0.8086829781532288,180.0,3.0,20news-groups,vmalperovich,2021-02-19 18:26:55,986.214,3461c19f3f93,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_4', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,True,GLoVe,32.0,200.0,0.55,100.0,300.0,0.05,5.0,0.001,5.0,1000.0,5.0,4611620.0,20.0,22728.0,,,,,0.20035889744758606,0.9869188666343689,0.8623105883598328,,[],SUCCEEDED
VKR-174,0.8316516280174255,180.0,3.0,20news-groups,vmalperovich,2021-02-19 17:56:53,1545.015,3461c19f3f93,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_3', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,False,GLoVe,32.0,200.0,0.55,100.0,300.0,0.05,5.0,0.001,5.0,1000.0,5.0,4611620.0,20.0,22728.0,,,,,0.13724932074546814,0.9988510012626648,0.7445115447044373,,[],SUCCEEDED
VKR-173,0.8341742157936096,180.0,3.0,20news-groups,vmalperovich,2021-02-19 17:38:43,1059.403,3461c19f3f93,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_2', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,False,GLoVe,32.0,200.0,0.55,100.0,200.0,0.05,5.0,0.001,5.0,1000.0,5.0,4589620.0,20.0,22728.0,,,,,0.15335164964199066,0.997348427772522,0.7673187851905823,,[],SUCCEEDED
VKR-172,0.8263409733772278,180.0,3.0,20news-groups,vmalperovich,2021-02-19 17:31:59,342.985,3461c19f3f93,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_1', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,False,GLoVe,32.0,200.0,0.55,100.0,200.0,0.001,5.0,0.001,5.0,1000.0,5.0,4589620.0,20.0,22728.0,,,,,0.07960491627454758,0.9974368214607239,0.7417342066764832,,[],SUCCEEDED
VKR-171,,180.0,3.0,20news-groups,vmalperovich,2021-02-19 17:28:51,3227.671,3461c19f3f93,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,False,GLoVe,32.0,200.0,0.55,100.0,200.0,0.001,5.0,0.001,5.0,1000.0,5.0,4589620.0,20.0,22728.0,,,,,,,,,[],SUCCEEDED
VKR-170,0.8043016195297241,180.0,3.0,20news-groups,vmalperovich,2021-02-19 16:49:39,1334.176,3461c19f3f93,False,relu,MPNN,"['Nodes_input', 'Embeddings', 'Adj_input', 'Reshape', 'lambda_1', 'MaxPool', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,False,GLoVe,32.0,200.0,0.55,100.0,200.0,0.001,5.0,0.001,5.0,1000.0,5.0,4549620.0,20.0,22728.0,,,,,0.08574815094470978,0.9829415082931519,0.9267303943634033,,[],SUCCEEDED
VKR-169,0.662506639957428,180.0,3.0,20news-groups,vmalperovich,2021-02-19 16:12:03,1457.477,3461c19f3f93,False,relu,MPNN,"['Nodes_input', 'Embeddings', 'Adj_input', 'Reshape', 'lambda', 'MaxPool', 'Pooling', 'Dropout', 'Dense']",False,True,GlobalSum,True,GLoVe,32.0,200.0,0.55,100.0,300.0,0.05,5.0,0.001,5.0,1000.0,5.0,4549620.0,20.0,22728.0,,,,,2.5539677143096924,0.453774094581604,1.5886478424072266,,[],SUCCEEDED
VKR-168,0.8000531196594238,167.0,3.0,20news-groups,vmalperovich,2021-02-19 04:46:04,485.961,a79d048baa35,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_3', 'Pooling', 'Dropout', 'Dense']",False,False,GlobalSum,True,GLoVe,32.0,200.0,0.6,100.0,300.0,0.05,5.0,0.001,5.0,900.0,10.0,3083020.0,20.0,15085.0,,,,,0.2615571618080139,0.9720699787139893,0.8983150124549866,,[],SUCCEEDED
VKR-167,0.7826606631278992,167.0,3.0,20news-groups,vmalperovich,2021-02-19 04:42:06,237.306,a79d048baa35,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_2', 'Pooling', 'Dropout', 'Dense']",False,False,GlobalSum,True,GLoVe,32.0,200.0,0.5,100.0,300.0,1.0E-4,5.0,0.001,5.0,900.0,10.0,3083020.0,20.0,15085.0,,,,,0.10726959258317947,0.9811737537384033,0.9905785322189331,,[],SUCCEEDED
VKR-166,0.8145247101783752,167.0,3.0,20news-groups,vmalperovich,2021-02-19 04:34:17,453.21,a79d048baa35,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_1', 'Pooling', 'Dropout', 'Dense']",False,False,GlobalSum,False,GLoVe,32.0,200.0,0.55,100.0,300.0,0.05,5.0,0.001,5.0,900.0,10.0,3083020.0,20.0,15085.0,,,,,0.15589788556098938,0.9978787302970886,0.8137163519859314,,[],SUCCEEDED
VKR-165,0.7612851858139038,142.0,3.0,20news-groups,vmalperovich,2021-02-19 04:28:47,117.233,a79d048baa35,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_2', 'Dropout', 'Pooling', 'Dense']",False,False,GlobalSum,False,GLoVe,32.0,200.0,0.55,100.0,300.0,0.05,5.0,0.001,3.0,1000.0,50.0,1093620.0,20.0,5138.0,,,,,0.19733650982379913,0.9984090328216553,1.0470515489578247,,[],SUCCEEDED
VKR-164,0.777615487575531,142.0,3.0,20news-groups,vmalperovich,2021-02-19 04:25:04,203.706,a79d048baa35,False,relu,GCN,"['Nodes_input', 'Embeddings', 'Reshape', 'Adj_input', 'gcn_conv_1', 'Pooling', 'Dropout', 'Dense']",False,False,GlobalSum,False,GLoVe,32.0,200.0,0.55,100.0,300.0,0.05,5.0,0.001,3.0,1000.0,50.0,1093620.0,20.0,5138.0,,,,,0.28582432866096497,0.986830472946167,1.0129033327102661,,[],SUCCEEDED
